"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"","psychophysics","108","479956","0.0-108.0","ETHAN","TEST","","","","","1545","key"," "," ","7.38570192307676","500","250","pz","56","2","38","","","57"
"","psychophysics","109","481247","0.0-109.0","ETHAN","TEST","","","","","1290","key"," "," ","7.476662790697531","500","250","pz","30","2","47","","","27"
"","psychophysics","110","483082","0.0-110.0","ETHAN","TEST","","","","","1834","key"," "," ","7.46196326530605","500","250","pz","27","2","23","","","27"
"","psychophysics","111","484880","0.0-111.0","ETHAN","TEST","","","","","1797","key"," "," ","7.443662499999967","500","250","pz","28","2","48","","","32"
"","psychophysics","112","485896","0.0-112.0","ETHAN","TEST","","","","","1015","key"," "," ","7.301330935251865","500","250","pz","28","2","29","","","25"
"","psychophysics","113","487196","0.0-113.0","ETHAN","TEST","","","","","1299","key"," "," ","7.605511764705743","500","250","pz","43","2","44","","","50"
"","psychophysics","114","489190","0.0-114.0","ETHAN","TEST","","","","","1993","key"," "," ","7.473943609022623","500","250","pz","46","2","57","","","51"
"","psychophysics","115","491295","0.0-115.0","ETHAN","TEST","","","","","2104","key"," "," ","7.239913494809761","500","250","pz","27","2","49","","","26"
"","psychophysics","116","494625","0.0-116.0","ETHAN","TEST","","","","","3329","key"," "," ","7.351143805309615","500","250","pz","24","2","59","","","24"
"","psychophysics","117","495248","0.0-117.0","ETHAN","TEST","","","","","622","key"," "," ","7.196588235294364","500","250","inst","","","","","",""
"","psychophysics","118","497064","0.0-118.0","ETHAN","TEST","","","","","1815","key"," "," ","7.40713114754085","500","250","instBr","70","2","40","0","0","300"
"","psychophysics","119","497526","0.0-119.0","ETHAN","TEST","","","","","461","key"," "," ","7.646466666666674","500","250","inst","","","","","",""
"","psychophysics","120","501802","0.0-120.0","ETHAN","TEST","","","","","4275","key"," "," ","7.371481865285055","500","250","br","29","2","43","28","-23","300"
"","psychophysics","121","503749","0.0-121.0","ETHAN","TEST","","","","","1946","key"," "," ","7.26370037453182","500","250","br","26","2","-35","15","-18","300"
"","psychophysics","122","505569","0.0-122.0","ETHAN","TEST","","","","","1819","key"," "," ","7.375182926829439","500","250","br","24","2","-41","29","-6","300"
"","psychophysics","123","506640","0.0-123.0","ETHAN","TEST","","","","","1070","key"," "," ","7.385729166666554","500","250","br","23","2","-19","-13","-29","300"
"","psychophysics","124","509442","0.0-124.0","ETHAN","TEST","","","","","2801","key"," "," ","7.315217277486912","500","250","br","24","2","49","14","-16","300"
"","psychophysics","125","510908","0.0-125.0","ETHAN","TEST","","","","","1465","key"," "," ","7.372565656565858","500","250","br","33","2","25","20","-18","300"
"","psychophysics","126","513325","0.0-126.0","ETHAN","TEST","","","","","2417","key"," "," ","7.490965838509363","500","250","br","23","2","-2","-24","-10","300"
"","psychophysics","127","515434","0.0-127.0","ETHAN","TEST","","","","","2108","key"," "," ","7.314588850174053","500","250","br","32","2","-31","-5","22","300"
"","psychophysics","128","517859","0.0-128.0","ETHAN","TEST","","","","","2424","key"," "," ","7.242673652694654","500","250","br","21","2","44","-19","-14","300"
"","psychophysics","129","520195","0.0-129.0","ETHAN","TEST","","","","","2336","key"," "," ","7.345984227129417","500","250","br","21","2","38","-20","2","300"
"","psychophysics","130","522519","0.0-130.0","ETHAN","TEST","","","","","2323","key"," "," ","7.443032154340822","500","250","br","28","2","-43","23","23","300"
"","psychophysics","131","524882","0.0-131.0","ETHAN","TEST","","","","","2362","key"," "," ","7.341074766355097","500","250","br","27","2","-45","-21","0","300"
"","psychophysics","132","526770","0.0-132.0","ETHAN","TEST","","","","","1887","key"," "," ","7.3015736434107845","500","250","br","23","2","-34","-21","16","300"
"","psychophysics","133","527998","0.0-133.0","ETHAN","TEST","","","","","1227","key"," "," ","7.372515151514954","500","250","br","23","2","-20","19","-24","300"
"","psychophysics","134","529191","0.0-134.0","ETHAN","TEST","","","","","1192","key"," "," ","7.429174999999669","500","250","br","30","2","-13","-9","-3","300"
"","psychophysics","135","529699","0.0-135.0","ETHAN","TEST","","","","","507","key"," "," ","7.58381818181828","500","250","inst","","","","","",""
"","psychophysics","136","530338","0.0-136.0","ETHAN","TEST","","","","","638","key"," "," ","7.530464285714386","500","250","instPog0","190","1","190","0","0","160"
