pid sid task resp start version parA rt time_elapsed block
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.14 -0.36 2 NA null 2102919 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.35 -0.55 2 NA 7533 2110474 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.58 0.48 2 NA null 2118490 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.8 0.2 2 NA null 2126496 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.46 -0.04 2 NA null 2134507 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.67 -0.23 2 NA null 2142520 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.45 -0.55 2 NA 6837 2149363 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.45 0.75 2 NA null 2157375 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.24 0.04 2 NA 6289 2163687 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 zol -0.36 -0.14 2 NA 6968 2170673 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 26 27 2 26 6746 2255901 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 41 50 2 44 4320 2260228 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 43 55 2 46 5710 2265951 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 29 60 2 28 null 2273957 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 49 51 2 50 null 2281965 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 42 40 2 42 6859 2288830 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 52 42 2 53 5838 2294675 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 39 54 2 39 5542 2300223 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 34 54 2 33 5726 2305957 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 61 30 2 59 7339 2313303 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 31 41 2 31 2918 2316228 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 34 48 2 32 3366 2319604 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 60 52 2 58 6049 2325661 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 49 28 2 52 5726 2331398 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 42 22 2 42 4168 2335571 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 38 27 1 37 3520 2376450 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 36 32 1 36 3588 2380043 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 29 40 1 28 6449 2386505 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 34 25 1 33 3797 2390306 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 37 40 1 39 5948 2396266 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 25 26 1 26 3187 2399460 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 33 54 1 35 5376 2404843 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 33 33 1 34 913 2405761 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 40 26 1 40 4577 2410342 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 25 28 1 25 4245 2414590 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 42 26 1 42 4405 2419004 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 47 51 1 50 3478 2422489 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 38 45 1 41 4973 2427471 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 40 29 1 40 2756 2430238 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 44 29 1 43 3601 2433846 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 184 214 1 165 4179 2467497 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 145 185 1 120 null 2475502 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 148 124 1 133 4863 2480376 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 157 151 1 142 4485 2484867 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 195 175 1 184 5016 2489895 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 184 128 1 166 4335 2494237 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 211 117 1 197 6231 2500473 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 214 188 1 196 2322 2502801 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 188 150 1 174 3020 2505826 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 145 219 1 124 5984 2511822 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 210 136 1 190 3056 2514883 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 161 195 1 139 3954 2518843 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 165 105 1 147 2537 2521391 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 178 150 1 159 3831 2525230 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pog 181 145 1 165 2518 2527753 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -10 -13 1 239 5885 2547067 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -10 -7 1 203 2760 2549839 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -8 -9 1 201 3676 2553522 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -7 11 1 249 4110 2557639 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -6 29 1 220 3258 2560904 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -8 8 1 227 2206 2563117 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -6 -2 1 209 3482 2566609 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -11 8 1 228 3355 2569977 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -10 29 1 239 4747 2574737 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -8 -6 1 249 2299 2577043 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -6 -12 1 283 4219 2581273 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -6 8 1 273 2526 2583811 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -6 12 1 284 1827 2585648 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -13 1 1 285 2206 2587860 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br -7 24 1 237 3451 2591321 0
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 51 46 1 45 2710 2626229 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 27 60 1 22 5402 2631642 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 59 59 1 49 4651 2636305 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 42 23 1 39 4855 2641167 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 50 58 1 44 5063 2646236 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 61 44 1 57 3514 2649763 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 59 41 1 50 3156 2652926 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 53 26 1 49 4347 2657283 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 26 42 1 25 7772 2665067 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 34 57 1 30 5536 2670615 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 25 23 1 22 5594 2676223 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 59 47 1 51 3174 2679403 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 22 25 1 20 3492 2682906 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 26 20 1 25 4037 2686950 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 pz 53 39 1 47 3981 2690941 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 39 25 2 34 3310 2721409 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 40 53 2 39 4241 2725654 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 39 52 2 37 4252 2729915 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 30 25 2 27 3373 2733292 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 50 41 2 49 4453 2737749 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 32 52 2 31 5398 2743155 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 26 39 2 24 5687 2748847 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 42 47 2 39 5879 2754738 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 34 43 2 32 2963 2757708 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 45 36 2 43 4176 2761887 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 48 30 2 43 3608 2765499 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 52 43 2 49 3990 2769496 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 44 30 2 39 3675 2773178 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 41 31 2 39 3305 2776488 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 eb 35 39 2 34 3334 2779833 NA
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 18 -3 2 273 3311 2789575 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 29 29 2 296 595 2790176 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 15 -28 2 261 2688 2792870 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 18 23 2 242 2138 2795022 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 13 30 2 214 5476 2800502 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 14 -26 2 239 4249 2804762 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 12 -27 2 225 3635 2808409 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 12 -12 2 227 2448 2810864 1
55a5f19bfdf99b28b5340d00 64e50290df62995c3043a679 br 15 -4 2 212 1783 2812675 1
